Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,common boa (<em>Boa constrictor</em>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objectid, Reporter, Observation_ Date, Year_ Accuracy, Date_ Entered, Date_ Updated, Updated_ By, Collector, F W C  Observation  I D, Date_ Uncertainty, Report_ Ownership, Source_ Type, Florida_ Reporter, Weed_ Watch_ I D, Observation_ Identifier, Common_ Name, Scientific_ Name, Phenology, Nativity, Original_ Reported_ Subject, Sex, Reviewer_ Identifier, Confidence, Voucher, Herbarium, Herbarium_ Record, Reference, Host, Host_ Name, Host_ Phenology, Host_ Damage, Maturity, Life_ Status, Smallest_ Observed, Largest_ Observed, Incidence, Severity, Verification_ Method, Identification_ Credibility, Identification_ Date, Reviewed, Reviewer, Date_ Reviewed, Number_ Collected, Abundance, Density, Gross_ Area, Gross_ Area_ Units, Infested_ Area, Infested_ Area_ Units, Native_ Canopy_ Cover, Stem_ Count, Treatment, Treatment_ Area, Treatment_ Comments, Aggressiveness, Disturbance_ Age, Distrubance_ I D, Control_ Action, Patch_ Type, Disturbance, Population_ Size, Invasive_ Canopy_ Cover, Overall_percent_of_water_surface_of_plot_covered_by_vegetation, Overall_percent_of_water_surface_of_water_ Body_covered_by_vegetation, Eradication_ Date, Plants_ Treated, Habitat, Locality, Huc_ Number, Elevation, Disturbance_ Type, Disturbance_ Severity, Management_ Type, Impacted_ Resources, Location, Coordinates, F I P S_codes, City, Section,township, Range, Quart, Quad, Quad_ Number, Quarter_ Quad, Local_ Ownership, National_ Ownership, Satellite, Forest_ Service_ Region, National_ Forest, Ranger_ District, A K E P I C_ Site, A K E P I C_ Original_ Site, Map_ Scale, Map_ Source, Map_ Date, Access, Site_ Name, Coordinate_ Uncertainty, Depth_of_ Water, Water_ Body_ Type, Water_ Velocity, Water_ Clarity, Nutrient_ Level, Salinity_and_ Tide, Aspect, Soil_ Moisture, Substrate, C W M A_ Name, Alberta_ Jurisdiction, Sighting_ Waterbody_ I D, Lake/ Bay_ Name, Lake/ Bay_ Type, Creek_ Name, Creek_ Type, River_ Name, River_ Type, Muncipality_ Name, Conservation_ Authority_ Name, Provincial_ Park_ Name, Fisheries_ Management_ Zone_ I D, M N R_ District_ Boundaries_ Name, Conservation_ Area_ I D, Conservation_ Area_ Name, Quaternary_ Watershed_ I D, Tertiary_ Watershed_ I D, Conservation_ Reserves_ Name, First_ Nation_ Name, Federal_ Lands_ Name, Federal_ Lands_ Type, Florida_ Location_ I D, Refuge, Course, Elevation_ Uncertainty_ In_ Meters, Speed_ In_ Meters_ Per_ Second, Conservation_ Area, Water_ Body_ Name, Data_ Type, Study_ Type, Visit_ Type,method, Precision, Surveyor, Other_ Surveyors, Reporter_ Affiliation, Source_ Name, Source_ I D, Site, U R L, Datum, G P S_ Model, Comments, Project_ Name, Project_ Description, Project_ Method, Project_ Discussion, Collection_ Time, Start_ Time, Stop_ Time, Agent_ Source, Quantity, Trap_ Type, Number_ Of_ Traps, Target_ Name, Target_ Count, Target_ Range, Species_found,polygon Wkt
4866731,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,14-Oct-16,,1-Mar-17,14-Oct-16,,,258184,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Photographs,Verified,,Verified,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leon County, Florida, United States",,12073, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observation,,,,,,,,,,,,"These two snakes were spotted in the area once you cross the bridge coming from Lincoln taking the straight trail over to the park. We were crossing the little bridge that the water normally runs under, however the water has dried up and the two snakes there just lying there.",,,,,,,,,,,,,,,Positive,
4865560,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,1-Aug-16,,1-Mar-17,1-Aug-16,,,250770,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Photographs,Verified,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.6426, -80.2804",12086,Coral Gables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,"LM: Captured an 18-20"" red-tail boa in the parking area for the Chapman Field Canoe Launch.  Contacted high school teacher who took it for her classroom.  Will send photo tomorrow.",,,,,,,,,,,,,,,Positive,POINT (-80.280433099907611 25.642639800086783)
4865559,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,15-Apr-16,,1-Mar-17,15-Apr-16,,,243132,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Photographs,Verified,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.8585, -80.1908",12086,Miami Shores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,In tree in back left corner of yard.  Officer Bryan Cosculluela responded and removed the 6 foot boa.,,,,,,,,,,,,,,,Positive,POINT (-80.190844000150435 25.858460899750753)
4865061,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,6-Dec-16,,1-Mar-17,7-Dec-16,,,265539,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Credible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Florida, United States","27.6648, -81.5158",12105, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,Caller found a 6ft red-tailed boa constrictor in his front yard. He caught and secured it in his trash can with the lid. Later discovered through the Lee County sheriff and a news article from September that it was a lost pet. Was reunited with the owner the same day.,,,,,,,,,,,,,,,Positive,POINT (-81.515753499624282 27.664827400164427)
4865010,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,8-Mar-16,,1-Mar-17,9-Mar-16,,,241519,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Credible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hernando County, Florida, United States","28.494, -82.562",12053,Spring Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,"Animal services picked it up from her, told her it was a Columbian red-tailed boa, about 3.5 feet.  No photos.",,,,,,,,,,,,,,,Positive,POINT (-82.561990000238268 28.493994999869415)
4864948,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,13-Dec-16,,1-Mar-17,13-Dec-16,,,265754,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Possible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange County, Florida, United States","28.5812, -81.5328",12095,Ocoee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,Comp stated that he had removed a boa from a woman's washing machine and transported it to an FWC officer in Eustis.,,,,,,,,,,,,,,,Positive,POINT (-81.532755000342945 28.581196000295222)
4864947,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,13-Dec-16,,1-Mar-17,13-Dec-16,,,265751,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Possible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange County, Florida, United States","28.5812, -81.5328",12095,Ocoee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,,,,,,,,,,,,Comp called stating that a resident at this address had found a 4' brown and black boa constrictor in her washing machine. Comp stated that his supervisor had transported the snake to an FWC officer in Eustis.,,,,,,,,,,,,,,,Positive,POINT (-81.532755000342945 28.581196000295222)
4864946,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,22-Sep-16,,1-Mar-17,22-Sep-16,,,257164,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Possible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange County, Florida, United States","28.5383, -81.3792",12095,Orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observation,,,,,,,,,,,,"Comp had a 15-inch-long ""baby tree boa"" fall on her head while she was walking in her garage. She, knocked it off, injuring it, collected the snake and put it in a jar until it died. Her neighbor identified it as a ""tree boa."" Comp could not provide a picture. Comp wanted to know if there might be more in the area.",,,,,,,,,,,,,,,Positive,POINT (-81.379236500264255 28.538335499583695)
4864932,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,16-Sep-16,,1-Mar-17,16-Sep-16,,,256923,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Possible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brevard County, Florida, United States","28.4255, -80.8201",12009,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found Dead,,,,,,,,,,,,Comp works for FDOT and found a snake on the side of I-95 that a biologist friend of his identified as a red-tailed boa.,,,,,,,,,,,,,,,Positive,POINT (-80.8201188003423 28.42547300017884)
4864866,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,15-Dec-16,,1-Mar-17,15-Dec-16,,,265941,,State Agency,Bulk Data,,,,common boa,Boa constrictor ,,Introduced,Boa constrictor,,,,,,,,,,,,,,,,,,Expertise,Possible,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Florida, United States","25.1068, -80.4303",12087,Key Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observation,,,,,,,,,,,,Comp reported seeing a 6-foot-long constrictor snake in his yard.,,,,,,,,,,,,,,,Positive,POINT (-80.430276899958926 25.106759699600502)
