Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Mediterranean gecko (<em>Hemidactylus turcicus</em>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objectid, Reporter, Observation_ Date, Year_ Accuracy, Date_ Entered, Date_ Updated, Updated_ By, Collector, F W C  Observation  I D, Date_ Uncertainty, Report_ Ownership, Source_ Type, Florida_ Reporter, Weed_ Watch_ I D, Observation_ Identifier, Common_ Name, Scientific_ Name, Phenology, Nativity, Original_ Reported_ Subject, Sex, Reviewer_ Identifier, Confidence, Voucher, Herbarium, Herbarium_ Record, Reference, Host, Host_ Name, Host_ Phenology, Host_ Damage, Maturity, Life_ Status, Smallest_ Observed, Largest_ Observed, Incidence, Severity, Verification_ Method, Identification_ Credibility, Identification_ Date, Reviewed, Reviewer, Date_ Reviewed, Number_ Collected, Abundance, Density, Gross_ Area, Gross_ Area_ Units, Infested_ Area, Infested_ Area_ Units, Native_ Canopy_ Cover, Stem_ Count, Treatment, Treatment_ Area, Treatment_ Comments, Aggressiveness, Disturbance_ Age, Distrubance_ I D, Control_ Action, Patch_ Type, Disturbance, Population_ Size, Invasive_ Canopy_ Cover, Overall_percent_of_water_surface_of_plot_covered_by_vegetation, Overall_percent_of_water_surface_of_water_ Body_covered_by_vegetation, Eradication_ Date, Plants_ Treated, Habitat, Locality, Huc_ Number, Elevation, Disturbance_ Type, Disturbance_ Severity, Management_ Type, Impacted_ Resources, Location, Coordinates, F I P S_codes, City, Section,township, Range, Quart, Quad, Quad_ Number, Quarter_ Quad, Local_ Ownership, National_ Ownership, Satellite, Forest_ Service_ Region, National_ Forest, Ranger_ District, A K E P I C_ Site, A K E P I C_ Original_ Site, Map_ Scale, Map_ Source, Map_ Date, Access, Site_ Name, Coordinate_ Uncertainty, Depth_of_ Water, Water_ Body_ Type, Water_ Velocity, Water_ Clarity, Nutrient_ Level, Salinity_and_ Tide, Aspect, Soil_ Moisture, Substrate, C W M A_ Name, Alberta_ Jurisdiction, Sighting_ Waterbody_ I D, Lake/ Bay_ Name, Lake/ Bay_ Type, Creek_ Name, Creek_ Type, River_ Name, River_ Type, Muncipality_ Name, Conservation_ Authority_ Name, Provincial_ Park_ Name, Fisheries_ Management_ Zone_ I D, M N R_ District_ Boundaries_ Name, Conservation_ Area_ I D, Conservation_ Area_ Name, Quaternary_ Watershed_ I D, Tertiary_ Watershed_ I D, Conservation_ Reserves_ Name, First_ Nation_ Name, Federal_ Lands_ Name, Federal_ Lands_ Type, Florida_ Location_ I D, Refuge, Course, Elevation_ Uncertainty_ In_ Meters, Speed_ In_ Meters_ Per_ Second, Conservation_ Area, Water_ Body_ Name, Data_ Type, Study_ Type, Visit_ Type,method, Precision, Surveyor, Other_ Surveyors, Reporter_ Affiliation, Source_ Name, Source_ I D, Site, U R L, Datum, G P S_ Model, Comments, Project_ Name, Project_ Description, Project_ Method, Project_ Discussion, Collection_ Time, Start_ Time, Stop_ Time, Agent_ Source, Quantity, Trap_ Type, Number_ Of_ Traps, Target_ Name, Target_ Count, Target_ Range, Species_found,polygon Wkt
4240777,Richard Mathis  ,29-May-15,,30-May-15,,,,,,,Web Report,,,Richard J. Mathis,Mediterranean gecko,Hemidactylus turcicus ,,,,,Jacob Kline,,0,,,,,,,,,,,,,,Expertise,Credible,29-Sep-15,Verified,FWCC Exotic Species Database,29-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,Yard/Garden                                       ,"1007 Gator Lane Winter Springs Fl. 32708  in backyard shed. Reporting for first time, learning system and how to enter sightings.",,,,,,,"Seminole County, Florida, United States","28.6656, -81.2748",12117,,,,,,,,,,Private Land*                                                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,,,,,,,,,,,Positive,POINT(-81.27480491995811 28.665648641273193)
3970305,"Michael Franzen Zoologische Staatssammlung München, Department of Herpetology, Germany ",11-Sep-14,,17-Sep-14,,,,,,,Web Report,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,Michael Franzen,,,,,,,,,,,,,,,,Expertise,Verified,15-Jan-15,Verified,FWCC Exotic Species Database,15-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,Other                                             ,at cabin walls,,,,,,,"Gulf County, Florida, United States","29.6846, -85.329",12045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,"1 adult, 1 juvenile",,,,,,,,,,,,,,,Positive,POINT(-85.32902 29.68455)
3954180,Laurence Connor Florida Fish and Wildlife Conservation Commission (ret.) ,27-Aug-14,,27-Aug-14,29-Aug-14,,,,,,iPhone,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,Laurence Connor ,,0,,,,,,,,,,,,,,Expertise,Verified,27-Aug-14,Verified,Pat Howell,15-Sep-14,Acres,,,,,,,Select One,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Florida, United States","28.8477, -81.6921",12069,,,,,,,,,,,,,,,,,,,,,,10 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,Two Hemidactylus turcicus. One photographed and euthanized. One observed and escaped. Continuing population at FWC Eustis office.,,,,,5,,,,,,,,,,Positive,POINT(-81.69214 28.8477)
3229893,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,11-Jun-14,Actual,1-Jul-14,,,,46960,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,Hemidactylus turcicus,,,,,Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       , Record ID:UF 173353-54                                      ,Personal Communication,,,,,,,,,,,Voucher Photographs,Verified,,Verified,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"Holiday, 3432 Moog Rd",,,,,,,"Pasco County, Florida, United States","28.2094, -82.7571",12101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429,,,,,,,Point Record,,,ArcGIS,Accurate,,,,,,,,WGS84     ,,Photographed a female gecko with numerous eggs behind water heater. Captured and photographed the female and a juvenile. ,,,,,,,,,,,,,,,Positive,POINT(-82.75707 28.20936)
3229628,Laurence Connor Florida Fish and Wildlife Conservation Commission (ret.) ,29-Jun-14,Actual,29-Jun-14,8-Sep-14,Laurence Connor Florida Fish and Wildlife Conservation Commission (ret.),,46988,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,Hemidactylus turcicus,,,,,Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       , Record ID:FMNHCatalogNumber                                 ,"Laurence L. Connor, Florida Fish and Wildlife Conservation Commission, personal communication",,,,,,,,,,,Voucher Photographs,Verified,1-Jan-00,Verified,"Larry Connor, FWCC",1-Jul-14,1,,,,,,,,,,,,,,,,,,,,,,,,,"Fruitland Park, Albert Rd 160 m E of Picciola Dr",,,,,,,"Lake County, Florida, United States","28.8427, -81.8677",12069,,,,,,,,,,,,,,,,,,,,,,5 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15923,,,,,,,Point Record,,,Cell Phone GPS,Accurate,,,,,,,,WGS84     ,,Single Hemidactylus turcicus captured and euthanized in residence. ,,,,,,,,,,,,,,,Positive,POINT(-81.86771 28.84267)
3165193,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,5-Apr-14,Actual,2-May-14,,,,46462,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,Hemidactylus turcicus,,,,,,,"Laurence L. Connor, Florida Fish and Wildlife Conservation Commission, personal communication",,,,,,,,,,,Expertise,Verified,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Wewahitchka, Gulf Correctional Institution 699 Ike Steele Rd",,,,,,,"Gulf County, Florida, United States","30.1741, -85.2645",12045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15536,,,,,,,Point Record,,,Reported,Accurate,,,,,,,,WGS84     ,,Single ca. 4 inch H. turcicus captured on side of building. Identified as H. turcicus by extensive turbicles on body. ,,,,,,,,,,,,,,,Positive,POINT(-85.26453 30.17414)
3109838,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,22-Sep-11,Actual,5-Dec-13,,,,41169,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,,,,,,"EIRAMP 2012. Everglades Invasive Reptile and Amphibian Monitoring Program database. University of Florida, Fort Lauderdale Research and Education Center, Davie, Florida. (Accessed September 21, 2012).",,,,,,,,,,,Expertise,Verified,,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Big Cypress National Preserve, parking lot at Turner River Boardwalk",,,,,,,"Collier County, Florida, United States","25.8883, -81.2621",12021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11122,,,,,,,Point Record,,,WAAS GPS,Accurate,,,,,,,,WGS84     ,,,,,,,,,,,,,,,,,Positive,POINT(-81.26208 25.88827)
3109837,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,1-May-12,Actual,5-Dec-13,,,,41163,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,,,,,,"EIRAMP 2012. Everglades Invasive Reptile and Amphibian Monitoring Program database. University of Florida, Fort Lauderdale Research and Education Center, Davie, Florida. (Accessed September 21, 2012).",,,,,,,,,,,Expertise,Verified,,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everglades National Park, Pa-Hay-Okee Overlook parking lot",,,,,,,"Miami-Dade County, Florida, United States","25.4407, -80.7833",12086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11175,,,,,,,Point Record,,,WAAS GPS,Accurate,,,,,,,,WGS84     ,,,,,,,,,,,,,,,,,Positive,POINT(-80.78326 25.44071)
3067972,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,6-Aug-13,Actual,17-Oct-13,,,,43389,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,,,,,,"UFFLREC 2013. Everglades Invasive Reptile and Amphibian Monitoring Program database. University of Florida, Fort Lauderdale Research and Education Center, Davie, Florida. (Accessed September 4, 2013).",,,,,,,,,,,Expertise,Verified,,Verified,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Everglades and Francis S. Taylor Wildlife Management Area, north bank L-29 canal at S334",,,,,,,"Miami-Dade County, Florida, United States","25.7617, -80.5023",12086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14381,,,,,,,Point Record,,,WAAS GPS,Accurate,,,,,,,,WGS84     ,,Building ,,,,,,,,,,,,,,,Positive,POINT(-80.50233 25.7617)
3067692,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission ,18-Jul-13,Actual,17-Oct-13,,,,43169,,State Agency,Bulk Data,,,,Mediterranean gecko,Hemidactylus turcicus ,,,,,,,,,,"UFFLREC 2013. Everglades Invasive Reptile and Amphibian Monitoring Program database. University of Florida, Fort Lauderdale Research and Education Center, Davie, Florida. (Accessed August 2, 2013).",,,,,,,,,,,Expertise,Verified,,Verified,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"Everglades and Francis S. Taylor Wildlife Management Area, boat ramp US-27 at S11C",,,,,,,"Broward County, Florida, United States","26.2302, -80.4595",12011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14193,,,,,,,Point Record,,,WAAS GPS,Accurate,,,,,,,,WGS84     ,,Disturbed ,,,,,,,,,,,,,,,Positive,POINT(-80.45946 26.23018)
