Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Burmese python (<em>Python molurus ssp. bivittatus</em>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objectid, Reporter, Observation_ Date, Year_ Accuracy, Date_ Entered, Date_ Updated, Updated_ By, Collector, F W C  Observation  I D, Date_ Uncertainty, Report_ Ownership, Source_ Type, Florida_ Reporter, Weed_ Watch_ I D, Observation_ Identifier, Common_ Name, Scientific_ Name, Phenology, Nativity, Original_ Reported_ Subject, Sex, Reviewer_ Identifier, Confidence, Voucher, Herbarium, Herbarium_ Record, Reference, Host, Host_ Name, Host_ Phenology, Host_ Damage, Maturity, Life_ Status, Smallest_ Observed, Largest_ Observed, Incidence, Severity, Verification_ Method, Identification_ Credibility, Identification_ Date, Reviewed, Reviewer, Date_ Reviewed, Number_ Collected, Abundance, Density, Gross_ Area, Gross_ Area_ Units, Infested_ Area, Infested_ Area_ Units, Native_ Canopy_ Cover, Stem_ Count, Treatment, Treatment_ Area, Treatment_ Comments, Aggressiveness, Disturbance_ Age, Distrubance_ I D, Control_ Action, Patch_ Type, Disturbance, Population_ Size, Invasive_ Canopy_ Cover, Overall_percent_of_water_surface_of_plot_covered_by_vegetation, Overall_percent_of_water_surface_of_water_ Body_covered_by_vegetation, Eradication_ Date, Plants_ Treated, Habitat, Locality, Huc_ Number, Elevation, Disturbance_ Type, Disturbance_ Severity, Management_ Type, Impacted_ Resources, Location, Coordinates, F I P S_codes, City, Section,township, Range, Quart, Quad, Quad_ Number, Quarter_ Quad, Local_ Ownership, National_ Ownership, Satellite, Forest_ Service_ Region, National_ Forest, Ranger_ District, A K E P I C_ Site, A K E P I C_ Original_ Site, Map_ Scale, Map_ Source, Map_ Date, Access, Site_ Name, Coordinate_ Uncertainty, Depth_of_ Water, Water_ Body_ Type, Water_ Velocity, Water_ Clarity, Nutrient_ Level, Salinity_and_ Tide, Aspect, Soil_ Moisture, Substrate, C W M A_ Name, Alberta_ Jurisdiction, Sighting_ Waterbody_ I D, Lake/ Bay_ Name, Lake/ Bay_ Type, Creek_ Name, Creek_ Type, River_ Name, River_ Type, Muncipality_ Name, Conservation_ Authority_ Name, Provincial_ Park_ Name, Fisheries_ Management_ Zone_ I D, M N R_ District_ Boundaries_ Name, Conservation_ Area_ I D, Conservation_ Area_ Name, Quaternary_ Watershed_ I D, Tertiary_ Watershed_ I D, Conservation_ Reserves_ Name, First_ Nation_ Name, Federal_ Lands_ Name, Federal_ Lands_ Type, Florida_ Location_ I D, Refuge, Course, Elevation_ Uncertainty_ In_ Meters, Speed_ In_ Meters_ Per_ Second, Conservation_ Area, Water_ Body_ Name, Data_ Type, Study_ Type, Visit_ Type,method, Precision, Surveyor, Other_ Surveyors, Reporter_ Affiliation, Source_ Name, Source_ I D, Site, U R L, Datum, G P S_ Model, Comments, Project_ Name, Project_ Description, Project_ Method, Project_ Discussion, Collection_ Time, Start_ Time, Stop_ Time, Agent_ Source, Quantity, Trap_ Type, Number_ Of_ Traps, Target_ Name, Target_ Count, Target_ Range, Species_found,polygon Wkt
4901859,Sandra Rommel Self ,19-Jun-17,,19-Jun-17,19-Jun-17,,,,,,iPhone,,,,Burmese python,Python molurus ssp. bivittatus,,Introduced,,,Crystal Hebets,,,,,,,,,,,,,,,,Photographs,Verified,19-Jun-17,Verified,FWCC Exotic Species Database,19-Jun-17,Acres,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collier County, Florida, United States","26.0312, -81.6912",12021,,,,,,,,,,,,,,,,,,,,,,5 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,5,,,,,,,,,,Positive,POINT (-81.69123 26.03116)
4901423,Ellen Donlan SFWMD ,31-May-17,,16-Jun-17,,,,,,State Agency,Web Report,,,,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,Jake Travers,,0,,,,,,,,,Dead,,96 Inches,,,Photographs,Verified,16-Jun-17,Verified,FWCC Exotic Species Database,16-Jun-17,,,,,0,,0,,,,,,,,,,,,,,,,,,Ruderal,"Laborers from Applied Aquatic supervised by Dallas Holmes were treating Brazilian pepper along the north side of I-75 near the parallel canal on May 31, 2017. At approximately 3:05pm laborers spotted the 8-10? python which was startled and retreated into a fallen, hollowed out, sabal palm trunk where it started to coil around its eggs. The laborers pulled the snake out of the trunk by its tail and dispatched it. Dallas called me, Ryan Brown, and asked for instructions. I instructed him to count the eggs, destroy them, and to send me a location. Dallas sent these pictures of before and after the eggs were destroyed. Only 8 eggs were located inside of the sabal trunk. The location of the clutch is attached.",,,,,,,"Broward County, Florida, United States","26.1582, -80.7729",12011,,,,,,,,,,State Lands                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,"Laborers from Applied Aquatic supervised by Dallas Holmes were treating Brazilian pepper along the north side of I-75 near the parallel canal on May 31, 2017. At approximately 3:05pm laborers spotted the 8-10? python which was startled and retreated into a fallen, hollowed out, sabal palm trunk where it started to coil around its eggs. The laborers pulled the snake out of the trunk by its tail and dispatched it. Dallas called me, Ryan Brown, and asked for instructions. I instructed him to count the eggs, destroy them, and to send me a location. Dallas sent these pictures of before and after the eggs were destroyed. Only 8 eggs were located inside of the sabal trunk. The location of the clutch is attached.",,,,,,,,,,,,,,,Positive,POINT (-80.772856999999988 26.158229)
4888937,Steven Rebollar  ,3-May-17,,16-May-17,,,,,,,Web Report,,,,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,Jacob Kline,,0,,,,,,,,,Dead,,,,,Expertise,Credible,16-May-17,Verified,FWCC Exotic Species Database,16-May-17,,,,,0,,0,,,,,,,,,,,,,,,,,,Wetlands: Marsh                                   ,"Near the end of Bear Lake Trail, Everglades National Park",,,,,,,"Monroe County, Florida, United States","25.1746, -80.9464",12087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,10-12 feet long,,,Observation,,,,,,,,,,,,Positive,POINT (-80.946375131607056 25.174592205391697)
4887299,Christen Mason SFWMD ,2-May-17,,2-May-17,2-May-17,,,,,Federal Agency,iPhone,,,,Burmese python,Python molurus ssp. bivittatus,,Introduced,,,Ashley Lawrence,,,,,,,,,,,,,,,,Photographs,Verified,5-May-17,Verified,Ashley Lawrence,10-May-17,Acres,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broward County, Florida, United States","25.9585, -80.4313",12011,,,,,,,,,,,,,,,,,,,,,,5 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,Dead on road,,,,,5,,,,,,,,,,Positive,POINT (-80.43134 25.95846)
4886865,Jake Edwards USDA Wildlife Services ,29-Apr-17,,1-May-17,,,,,,,Web Report,,,,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,jake edwards,,0,,,,,,,,,Dead,,,,,Other,Credible,,Verified,Ashley Lawrence,2-May-17,,,,,0,,0,,,,,,,,,,,,,,,,,,,About 150 Ft south of 104st on krome,,,,,,,"Miami-Dade County, Florida, United States","25.6661, -80.481",12086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,,,,,,,,,,,Positive,POINT (-80.4810118675232 25.666118438248706)
4886701,Thomas Aycock Swamp Apes ,30-Apr-17,,1-May-17,,,,,,State Agency,Web Report,,,Thomas Aycock,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,Edward Mercer,,0,,,,,,,,,Dead,108 Inches,108 Inches,,,Photographs,Verified,1-May-17,Verified,Edward Mercer,1-May-17,,,,3,sq feet,3,sq feet,,,,,,,,,,,,1,,,,,,Right-of-Way                                      ,South of SW160th Street and north of SW168th on the righ of way of Krome Avenue,,,,,,,"Miami-Dade County, Florida, United States","25.6147, -80.4792",12086,,,,,,,,,,State Lands                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,Observation,,,,,,,,,,,,Positive,POINT (-80.47922 25.61473)
4886477,annette johnson nps ,7-Mar-17,,26-Apr-17,,,,,,Federal Agency,Web Report,,,Annette Johnson,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,Ashley Lawrence,,0,left in canal                                                                                                                                                                                                                                                  ,,,,,,,,Dead,,108 Inches,,,Photographs,Credible,27-Apr-17,Not Verified,Ashley Lawrence,26-May-17,,,,,0,,0,,,,,,,,,,,,1,,,,,,Edge: Roadside                                    ,Seen by JD Lee. The snake was dead and floating (partially submerged) in Hwy 41 roadside canal in Big Cypress NP.  The location is between the BICY headquarters building and Birdon Rd.,,,,,,,"Collier County, Florida, United States","25.9016, -81.3146",12021,,,,,,,,,,National Park Service                                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,Seen by JD Lee on 3-6-17. The snake was dead and floating (partially submerged) in Hwy 41 roadside canal in Big Cypress NP. Snake was located 3-7-17 floating partially submerged in the same location.  The snake was bloated and decomposing. Picture taken.,,,Observation,,,,,,,,,,,,Positive,POINT (-81.314578056335449 25.901599387355535)
4885685,ronnie williams  ,19-Apr-17,,19-Apr-17,19-Apr-17,,,,,General Public,Android,,,,Burmese python,Python molurus ssp. bivittatus,,Introduced,,,Jake Travers,,,,,,,,,,,,,,,,Photographs,Verified,25-May-17,Verified,FWCC Exotic Species Database,25-May-17,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.7493, -80.5468",12086,,,,,,,,,,,,,,,,,,,,,,6 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,"snake jumped out at surveyors yesterday, they left for birds to eat, when I arrived to array this morning saw the snake opened and a number of eggs inside.",,,,,5,,,,,,,,,,Positive,POINT (-80.5468393 25.7493489)
4885557,Rupert Lean Stretchmarine LLC ,24-Jan-16,,17-Apr-17,17-Apr-17,,,,,State Agency,iPhone,,,,Burmese python,Python molurus ssp. bivittatus,,Introduced,,,Edward Mercer,,,,,,,,,,,,,,,,Photographs,Verified,18-Apr-17,Verified,Edward Mercer,18-Apr-17,Acres,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Dade County, Florida, United States","25.8067, -80.8528",12086,,,,,,,,,,,,,,,,,,,,,,5 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,,,,,,5,,,,,,,,,,Positive,POINT (-80.85284 25.80672)
4882660,Donna Kalil  ,4-Apr-17,,8-Apr-17,,,,,,,Web Report,,,Donna Kalil,Burmese python,Python molurus ssp. bivittatus,Adult,Introduced,,,,,0,,,,,,,,,Dead,,108  Inches,,,Photographs,Verified,,Verified,FWCC Exotic Species Database,12-Apr-17,,,,,0,,0,,,,,,,,,,,,,,,,,,Edge: Roadside                                    ,L28 tieback levee,,,,,,,"Miami-Dade County, Florida, United States","25.7931, -80.856",12086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS84     ,,observed carcass approximate size 9 ft on side of levee while searching for pythons for SFWM,,,Observation,,,,,,,,,,,,Positive,POINT (-80.855991125499713 25.793139082205069)
